order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,332,104,2,7746.6,66.07
2,154,357,4,5118.81,35.93
3,44,454,4,1291.56,19.31
4,369,304,2,691.34,54.06
5,158,256,5,6531.87,96.66
6,9,19,3,6344.67,4.28
7,61,109,5,5489.01,87.43
8,77,380,5,761.86,73.55
9,251,335,1,7360.55,4.58
10,360,333,-2,5134.76,90.47
11,421,407,1,1531.38,59.1
12,419,419,1,4840.82,61.56
13,33,412,2,6529.86,98.22
14,348,206,3,5535.89,54.59
15,165,429,2,4826.06,33.55
16,62,141,2,1510.8,36.99
17,85,225,2,517.45,10.0
18,434,324,5,1430.48,87.96
19,42,4,1,895.3,65.18
20,455,146,4,6379.48,47.6
21,65,106,2,4280.08,41.2
22,481,90,5,4850.92,71.72
23,314,487,1,6304.15,34.79
24,3,286,2,7895.51,97.68
25,317,186,5,3820.88,62.65
26,107,142,1,6413.58,68.52
27,496,467,4,1446.12,92.27
28,28,331,3,3590.44,33.43
29,413,456,4,5975.25,92.49
30,91,81,1,1105.31,89.51
31,370,228,5,3468.72,74.71
32,460,167,2,2743.83,9.81
33,378,212,2,1921.17,47.1
34,249,28,4,7437.52,45.5
35,199,192,2,1714.41,35.86
36,139,104,3,5599.24,5.97
37,70,57,4,1535.37,34.36
38,454,152,5,6397.61,95.28
39,464,88,5,6869.03,8.65
40,439,268,4,1888.25,47.35
41,237,143,1,5942.2,24.67
42,168,223,5,7434.34,94.63
43,468,294,1,544.95,99.13
44,376,394,5,4342.75,47.93
45,409,357,1,2075.99,55.85
46,7,355,4,1235.15,29.58
47,332,47,1,2577.73,70.33
48,440,293,-5,3747.76,77.18
49,448,361,4,6998.1,62.68
50,361,325,1,751.45,89.34
51,171,272,1,6072.53,69.81
52,314,278,5,6344.0,8.1
53,451,172,1,7298.03,36.4
54,27,57,4,5029.24,36.56
55,90,332,5,4573.91,77.36
56,71,172,2,5262.5,73.74
57,386,298,2,6134.91,32.05
58,460,137,5,2361.73,6.34
59,177,232,4,6670.57,47.02
60,273,348,5,3725.43,36.81
61,345,485,1,7095.04,8.73
62,201,460,2,7661.69,10.94
63,142,58,2,7024.95,52.07
64,322,12,3,5522.75,93.17
65,243,178,4,5228.54,29.15
66,33,12,2,4253.04,33.59
67,297,176,3,5393.67,53.02
68,281,228,4,1229.24,78.93
69,88,405,3,3100.84,28.81
70,433,25,2,3756.23,16.64
71,474,83,5,7791.01,83.93
72,355,464,2,1111.96,99.38
73,295,65,4,1639.07,56.25
74,18,341,3,1353.96,44.84
75,500,84,5,7379.39,40.46
76,256,394,2,7436.93,15.61
77,497,379,5,2783.99,70.55
78,243,459,3,6082.46,99.41
79,342,76,5,7393.88,33.87
80,58,375,4,1287.5,55.1
81,158,13,4,1918.85,35.74
82,168,29,5,4750.77,22.21
83,480,393,3,852.0,84.95
84,347,344,1,3276.5,49.05
85,309,310,5,7285.89,36.11
86,76,367,4,3108.08,28.47
87,180,158,4,883.27,72.79
88,228,380,4,2451.35,80.57
89,497,460,4,3430.71,83.55
90,307,45,2,3901.98,86.75
91,172,34,5,889.9,40.95
92,469,140,4,3804.54,56.79
93,469,71,2,3177.8,55.39
94,22,422,3,2570.53,55.93
95,238,115,1,1401.39,30.02
96,328,428,4,5394.13,28.77
97,92,252,-2,6164.8,49.31
98,497,35,5,4732.31,56.56
99,445,133,4,6582.59,37.32
100,376,295,1,1470.21,5.85
101,164,237,2,612.53,36.12
102,326,467,3,2474.98,63.89
103,40,264,2,1629.33,9.45
104,386,86,5,2666.44,84.5
105,410,155,3,5569.1,9.58
106,297,181,-2,4241.73,37.3
107,249,211,3,1471.63,21.79
108,258,114,2,4557.51,68.97
109,488,270,5,5677.67,80.26
110,214,236,1,1223.61,1.74
111,179,160,3,3647.12,98.76
112,268,391,3,2576.54,74.45
113,61,114,2,1310.4,22.66
114,65,108,2,3513.48,76.3
115,58,40,1,6107.21,4.25
116,56,17,5,3858.84,90.85
117,23,34,3,6085.49,78.24
118,472,309,2,1760.19,67.06
119,15,47,2,7546.39,94.88
120,179,181,2,6290.26,61.3
121,259,292,1,4709.44,1.4
122,112,367,2,1539.83,75.4
123,3,499,1,7379.72,85.13
124,244,188,5,5453.5,10.73
125,428,182,4,4211.16,40.76
126,390,161,1,4253.88,49.58
127,185,361,3,516.75,32.81
128,60,198,3,5942.16,68.7
129,431,228,2,2466.6,85.54
130,97,439,1,6459.0,93.91
131,189,92,1,4034.86,10.52
132,225,268,1,3279.53,69.5
133,53,380,2,7806.62,33.86
134,305,433,4,6737.25,72.52
135,143,392,5,6099.16,80.1
136,483,205,3,4904.69,40.44
137,249,262,3,3746.15,12.22
138,251,255,2,1249.95,9.96
139,28,426,1,408.64,17.91
140,310,348,3,5051.34,9.63
141,40,339,5,6383.31,20.19
142,339,255,4,4431.02,80.95
143,277,280,1,446.47,43.04
144,469,61,4,6852.42,44.26
145,19,17,2,6910.81,30.3
146,362,85,4,2637.19,38.91
147,392,57,5,5348.61,68.54
148,293,241,4,1419.23,5.57
149,135,254,5,5012.13,35.28
150,146,165,-1,551.92,83.69
151,179,415,-5,7152.47,34.13
152,50,220,3,3413.05,5.64
153,126,127,2,4821.75,91.04
154,34,445,3,1524.28,53.84
155,20,236,4,7231.0,26.66
156,357,241,-5,2668.81,57.04
157,166,294,1,980.44,67.51
158,173,255,5,5405.62,16.66
159,154,187,4,5156.46,97.41
160,39,431,5,2268.21,29.73
161,294,206,2,7671.94,71.77
162,297,49,5,724.7,80.12
163,244,219,2,797.96,82.37
164,259,412,3,4411.59,20.01
165,206,129,5,5438.17,54.76
166,452,10,5,4699.38,21.3
167,493,422,4,5175.83,80.89
168,437,394,4,5867.6,5.99
169,103,187,4,1373.69,68.53
170,154,433,4,6909.45,91.11
171,325,105,4,2438.95,16.06
172,352,308,2,1085.76,19.19
173,126,409,3,4566.64,43.61
174,332,464,1,2327.15,2.91
175,405,412,3,1572.68,85.25
176,494,370,4,631.55,89.65
177,161,309,3,7224.48,40.7
178,187,344,1,6750.52,84.28
179,121,58,5,7476.9,52.2
180,425,298,5,7099.61,23.81
181,63,396,3,4757.74,39.0
182,384,381,2,1900.47,10.68
183,110,497,3,2183.59,58.95
184,252,274,3,1081.1,54.57
185,244,350,2,7059.58,93.7
186,186,244,3,364.38,96.68
187,311,18,1,6352.66,23.97
188,283,197,3,5664.81,90.32
189,351,63,5,6889.65,38.85
190,466,492,4,7359.83,30.09
191,480,422,2,6903.45,16.02
192,225,324,3,6180.58,40.63
193,18,141,1,7535.86,47.11
194,212,475,3,7038.74,82.02
195,423,83,3,2944.48,60.21
196,417,281,3,413.34,5.21
197,329,95,4,1261.52,40.07
198,322,157,3,1064.46,24.96
199,366,497,2,5548.88,79.26
200,164,232,4,1241.38,17.35
201,304,424,3,1749.58,41.45
202,94,202,4,7097.86,22.45
203,486,12,5,5087.69,90.68
204,499,237,2,6844.28,4.98
205,317,220,5,894.68,36.79
206,485,291,-1,4301.53,77.34
207,476,233,4,5765.8,19.05
208,442,417,3,4054.51,13.02
209,439,106,5,6627.89,72.67
210,97,215,2,1338.35,29.02
211,135,121,5,2136.88,58.29
212,332,235,-1,1239.0,32.32
213,355,204,2,5725.93,73.61
214,132,38,1,606.48,93.11
215,242,466,3,7526.71,96.72
216,307,364,-1,4135.43,38.09
217,203,344,3,7159.36,4.11
218,92,134,2,7456.55,87.79
219,68,46,3,3576.85,26.04
220,161,23,2,7792.3,28.1
221,185,475,4,7040.1,61.29
222,390,475,3,3599.05,16.5
223,378,252,2,7398.25,63.67
224,226,28,2,1992.91,3.59
225,134,84,4,7962.57,92.72
226,21,227,3,4574.67,45.78
227,58,434,2,929.91,86.82
228,93,428,2,6616.06,56.32
229,340,300,2,7778.69,52.6
230,293,93,4,2120.03,49.81
231,49,455,-3,5514.24,68.06
232,202,192,5,1027.35,32.35
233,15,42,4,5344.41,45.41
234,490,138,5,2769.53,4.38
235,319,487,4,5906.05,73.43
236,491,409,5,6933.57,80.16
237,145,166,1,4467.82,60.23
238,48,205,3,7727.38,86.55
239,46,11,2,6280.04,28.49
240,386,489,2,4028.59,43.24
241,413,472,3,4907.41,35.9
242,50,427,3,4019.06,88.54
243,244,138,5,903.73,42.25
244,189,315,2,3522.93,4.04
245,175,499,4,5251.36,71.36
246,477,254,5,4292.49,29.07
247,224,41,4,7876.65,68.43
248,154,431,2,2504.76,4.77
249,40,470,1,4183.08,41.3
250,238,339,5,2972.57,58.56
251,394,258,1,5360.31,17.96
252,94,432,4,3446.76,70.44
253,161,301,4,3709.59,80.78
254,175,495,2,810.12,98.22
255,133,447,1,339.74,39.49
256,7,88,4,3359.71,65.77
257,382,309,4,6542.43,61.67
258,354,345,4,883.55,13.51
259,98,58,1,1668.12,2.68
260,247,333,2,3599.15,62.61
261,405,276,2,6203.82,14.82
262,217,12,1,1388.89,70.26
263,494,249,-4,3706.23,24.26
264,151,292,4,261.42,63.04
265,366,222,4,5949.21,59.58
266,284,149,1,3991.59,59.1
267,314,479,4,673.5,1.9
268,296,162,5,7164.44,41.71
269,243,60,4,5240.2,44.83
270,224,11,2,1699.17,34.38
271,119,260,2,5542.8,92.17
272,437,432,4,2488.47,71.14
273,492,214,3,6438.09,84.45
274,319,107,3,872.3,48.29
275,89,103,2,987.05,41.6
276,253,156,2,566.98,1.81
277,452,134,3,1562.78,85.95
278,258,17,1,1088.96,22.67
279,288,115,4,2854.53,35.52
280,24,395,5,1379.19,69.01
281,264,310,1,7427.73,43.78
282,235,493,1,6296.89,60.97
283,440,486,1,527.36,10.54
284,323,61,2,1424.85,29.21
285,227,391,5,6989.84,15.43
286,187,172,2,1774.74,96.96
287,394,394,1,6511.33,34.13
288,259,88,1,5778.56,41.5
289,323,341,2,6077.36,42.17
290,117,71,4,3392.61,45.88
291,437,265,3,3652.11,77.02
292,368,413,5,861.27,31.48
293,396,85,4,6121.7,66.02
294,329,78,5,5126.54,71.34
295,339,449,5,3470.58,88.58
296,359,284,3,2646.82,34.42
297,424,144,5,1345.52,40.39
298,330,106,5,5021.86,44.21
299,177,455,4,7071.6,8.43
300,276,172,4,5972.41,12.6
301,277,146,2,4503.93,52.13
302,388,326,-2,7144.49,53.99
303,133,124,3,7898.25,11.04
304,31,431,3,4158.5,12.38
305,388,334,1,4665.0,0.52
306,174,121,5,7175.84,62.77
307,274,433,5,2533.77,66.69
308,418,367,5,5771.94,51.97
309,127,54,3,1701.93,77.85
310,233,51,2,6661.81,8.19
311,32,218,2,3680.08,36.93
312,270,207,5,6274.83,87.2
313,300,256,4,5574.34,94.78
314,375,499,4,1325.9,12.71
315,365,235,2,4202.85,52.91
316,356,109,4,6022.67,94.41
317,190,472,1,3387.23,12.09
318,293,149,1,1118.39,30.49
319,192,156,3,6371.39,14.21
320,302,216,1,2580.28,28.35
321,94,420,-4,4470.79,6.76
322,23,214,4,4612.96,90.03
323,401,194,4,6702.73,13.28
324,71,259,4,5404.32,14.9
325,373,167,1,5383.12,40.96
326,120,461,4,557.39,67.04
327,227,377,3,6954.44,70.72
328,293,323,3,1165.5,55.94
329,99,490,5,6109.4,95.73
330,268,97,4,345.58,65.83
331,273,93,1,1805.28,82.97
332,430,455,5,6493.98,60.69
333,206,302,1,7484.02,34.0
334,93,213,1,2675.58,25.72
335,59,51,5,1323.47,25.56
336,46,79,3,5493.15,5.89
337,493,167,-2,656.31,38.99
338,164,73,4,2211.89,94.16
339,461,62,1,6066.64,58.6
340,253,261,5,1097.63,6.06
341,238,284,4,425.47,63.35
342,468,454,1,7715.1,67.51
343,127,391,5,1179.46,56.82
344,229,43,5,7749.71,37.33
345,87,401,2,3505.27,91.15
346,232,22,1,7696.69,62.07
347,335,498,-2,7481.35,48.22
348,307,129,4,6771.02,21.28
349,431,262,3,5965.63,56.31
350,154,46,4,6677.89,72.51
351,144,450,4,4137.6,80.21
352,453,350,3,7841.19,70.78
353,140,126,3,3786.43,59.95
354,9,468,2,215.97,47.65
355,462,5,2,7183.09,70.33
356,391,202,5,7038.42,65.13
357,276,16,4,2953.36,81.28
358,424,308,3,6745.34,81.19
359,5,64,4,1705.33,0.94
360,381,11,3,5731.74,19.15
361,418,315,3,1924.95,98.01
362,496,186,1,7255.16,70.7
363,108,4,2,5179.8,11.09
364,143,292,5,4503.92,65.98
365,290,345,5,709.81,12.82
366,34,66,3,6872.74,88.1
367,374,401,3,5488.23,99.2
368,355,348,5,5509.31,88.31
369,2,481,4,7555.98,5.19
370,481,166,4,3373.63,12.17
371,266,239,4,6120.37,88.38
372,115,25,3,4352.8,31.62
373,201,100,3,4660.19,2.54
374,378,116,4,7352.56,19.69
375,169,160,1,954.46,48.0
376,414,13,5,7493.47,84.05
377,127,56,4,2858.26,5.44
378,171,267,2,6250.85,61.96
379,392,49,4,867.17,6.07
380,18,194,3,5608.24,78.26
381,32,471,4,4963.76,43.18
382,53,347,1,2500.35,38.15
383,50,317,4,4876.69,65.97
384,6,233,4,3539.22,62.02
385,52,174,1,2759.91,19.25
386,53,7,5,4824.51,84.08
387,464,294,2,2199.03,42.1
388,372,318,4,1273.85,4.41
389,66,160,5,7685.98,75.44
390,160,299,5,1349.79,30.87
391,176,150,3,4237.91,65.77
392,75,30,2,6714.36,85.87
393,217,177,2,5196.33,20.13
394,36,175,2,5619.3,98.19
395,308,355,3,4615.56,33.57
396,154,215,3,3743.56,78.92
397,22,254,2,5182.38,69.32
398,239,320,2,5929.77,95.26
399,170,414,4,1637.11,98.99
400,186,6,1,4526.59,14.24
401,226,100,5,3007.29,97.53
402,102,102,3,7105.98,71.88
403,174,434,5,1728.7,17.61
404,135,467,-1,5484.13,37.89
405,404,454,1,1839.85,45.62
406,190,415,3,7541.06,97.71
407,320,452,4,709.94,14.44
408,474,67,2,3149.93,37.43
409,307,220,2,6152.04,58.73
410,438,275,3,2755.91,5.33
411,408,144,2,7753.4,88.58
412,108,373,1,6369.78,61.49
413,86,261,4,5231.56,50.92
414,256,266,4,5757.4,52.55
415,248,367,4,4733.26,63.81
416,405,299,1,7180.1,45.21
417,121,203,2,7131.93,57.14
418,479,432,3,861.12,75.16
419,152,228,5,4754.91,46.53
420,319,173,4,3573.54,36.75
421,255,163,3,1600.61,23.38
422,331,39,3,2497.24,50.18
423,280,330,1,7427.53,9.84
424,37,185,1,2803.31,67.51
425,129,155,3,4911.47,13.79
426,438,386,5,266.56,29.95
427,422,178,4,6610.52,75.78
428,7,242,5,7621.61,86.55
429,117,117,2,4223.44,78.6
430,388,240,4,869.83,84.58
431,220,395,4,3709.78,55.84
432,192,72,5,2583.46,73.78
433,256,415,3,3469.35,68.58
434,207,391,5,4778.25,56.76
435,17,473,2,7630.57,33.03
436,323,410,5,4676.25,39.09
437,196,105,4,3214.18,47.48
438,169,292,4,2576.23,17.14
439,346,284,2,5574.39,48.86
440,96,102,1,3209.97,20.59
441,150,338,5,648.13,51.85
442,88,168,4,7918.84,12.91
443,215,245,1,7247.98,20.65
444,446,106,3,5735.44,47.48
445,310,295,3,4119.31,68.48
446,142,104,1,3676.71,82.46
447,310,414,2,7300.36,87.92
448,236,237,5,910.6,64.63
449,471,234,3,5750.85,29.74
450,314,422,2,1600.71,61.77
451,222,235,4,1630.87,56.86
452,202,358,1,6990.21,27.38
453,322,276,3,720.6,72.65
454,462,112,4,6142.51,12.12
455,189,40,1,6280.18,41.01
456,85,130,2,3804.91,7.32
457,356,346,4,6018.47,85.58
458,204,20,1,5730.98,13.65
459,344,384,4,732.25,54.84
460,125,366,4,6599.33,84.16
461,88,430,1,1582.45,12.42
462,380,201,2,6155.99,67.74
463,79,226,3,5772.42,89.27
464,273,111,4,6724.71,81.15
