product_id,product_name,category,subcategory,cost_price
1,Note Fiction,Books,Fiction,3453.56
2,Them Kitchen,Home,Kitchen,582.37
3,Scientist Camera,Electronics,Camera,241.84
4,Unit Furniture,Home,Furniture,813.29
5,Site Education,Books,Education,4367.11
6,Stage Jacket,Clothing,Jacket,2359.63
7,lEARN lIGHTING,Home,Lighting,4042.7
8,Radio Kitchen,Home,Kitchen,4939.49
9,Technology Lighting,Home,Lighting,1580.4
10,Yard Comics,Books,Comics,1858.9
11,   Away Decor   ,Home,Decor,2039.45
12,Skin Mobile,Electronics,Mobile,4180.91
13,Rich Kitchen,Home,Kitchen,3219.43
14,Class Kitchen,Home,Kitchen,3267.07
15,   Agent Lighting   ,Home,Lighting,743.92
16,Machine Decor,Home,Decor,747.58
17,Series Decor,Home,Decor,4140.98
18,Glass Biography,Books,Biography,664.33
19,Always Laptop,Electronics,Laptop,3413.99
20,Begin Biography,Books,Biography,1395.85
21,Back Camera,Electronics,Camera,1384.59
22,Arm Biography,Books,Biography,222.62
23,Could Kitchen,Home,Kitchen,2374.91
24,sTUDY lIGHTING,Home,Lighting,282.34
25,Enter Fiction,Books,Fiction,764.75
26,Open Biography,Books,Biography,4735.27
27,Avoid Education,Books,Education,4185.1
28,   Paper Biography   ,Books,Biography,2272.58
29,Term Shoes,Clothing,Shoes,2767.88
30,Drive Furniture,Home,Furniture,698.58
31,Whether Fiction,Books,Fiction,3026.02
32,Evening Mobile,Electronics,Mobile,717.03
33,Involve Shirt,Clothing,Shirt,2973.28
34,Important Shoes,Clothing,Shoes,3020.31
35,Little Kitchen,Home,Kitchen,4012.72
36,Professor Mobile,Electronics,Mobile,3963.31
37,Interview Furniture,Home,Furniture,3734.42
38,Lead Mobile,Electronics,Mobile,2614.87
39,Four Camera,Electronics,Camera,312.49
40,aDULT lIGHTING,Home,Lighting,4993.08
41,Improve Comics,Books,Comics,4557.53
42,Report Mobile,Electronics,Mobile,718.34
43,By Lighting,Home,Lighting,2323.21
44,Nor Fiction,Books,Fiction,3308.09
45,According Jacket,Clothing,Jacket,1760.76
46,Put Comics,Books,Comics,2191.14
47,Service Decor,Home,Decor,2423.91
48,Present Mobile,Electronics,Mobile,3720.1
49,At Shirt,Clothing,Shirt,1715.27
50,Something Camera,Electronics,Camera,3776.39
51,Skill Headphones,Electronics,Headphones,2931.8
52,Pay Jeans,Clothing,Jeans,630.27
53,Answer Furniture,Home,Furniture,4055.38
54,   School Headphones   ,Electronics,Headphones,3835.81
55,   Thus Decor   ,Home,Decor,2874.97
56,Baby Fiction,Books,Fiction,250.22
57,Help Jacket,Clothing,Jacket,1913.26
58,Without Furniture,Home,Furniture,3796.74
59,Morning Mobile,Electronics,Mobile,2479.74
60,Born Comics,Books,Comics,657.71
61,Figure Fiction,Books,Fiction,2484.5
62,Stop Furniture,Home,Furniture,368.43
63,Rich Shoes,Clothing,Shoes,3844.39
64,Fish Decor,Home,Decor,2210.21
65,Policy Jacket,Clothing,Jacket,2837.75
66,Before Furniture,Home,Furniture,2237.48
67,Father Fiction,Books,Fiction,2909.66
68,sOUTHERN bIOGRAPHY,Books,Biography,1691.36
69,With Biography,Books,Biography,1292.25
70,Left Fiction,Books,Fiction,1763.62
71,I Kitchen,Home,Kitchen,2699.96
72,Indicate Shoes,Clothing,Shoes,3262.67
73,Term Jeans,Clothing,Jeans,950.15
74,Recent Shirt,Clothing,Shirt,2521.17
75,Allow Biography,Books,Biography,839.69
76,Matter Camera,Electronics,Camera,1445.9
77,Close Headphones,Electronics,Headphones,2314.38
78,None Headphones,Electronics,Headphones,4334.83
79,Discussion Camera,Electronics,Camera,3979.91
80,Century Camera,Electronics,Camera,1022.37
81,Skin Education,Books,Education,4073.74
82,Include Furniture,Home,Furniture,1313.94
83,Style Comics,Books,Comics,1883.1
84,Subject Lighting,Home,Lighting,3029.64
85,Time Furniture,Home,Furniture,1994.16
86,Offer Kitchen,Home,Kitchen,793.0
87,Find Decor,Home,Decor,2020.59
88,Protect Headphones,Electronics,Headphones,1709.54
89,Charge Shirt,Clothing,Shirt,1872.96
90,Fire Decor,Home,Decor,4743.57
91,Research Education,Books,Education,478.11
92,Very Mobile,Electronics,Mobile,3128.35
93,Who Education,Books,Education,3878.38
94,   Stuff Jacket   ,Clothing,Jacket,3625.97
95,Trial Biography,Books,Biography,1246.61
96,Shoulder Shoes,Clothing,Shoes,4529.47
97,Raise Shoes,Clothing,Shoes,2258.93
98,Hour Lighting,Home,Lighting,894.09
99,Activity Jeans,Clothing,Jeans,2454.89
100,On Furniture,Home,Furniture,710.92
101,Two Laptop,Electronics,Laptop,822.01
102,One Fiction,Books,Fiction,2310.53
103,Chance Furniture,Home,Furniture,1932.41
104,cANDIDATE fICTION,Books,Fiction,4661.05
105,Analysis Kitchen,Home,Kitchen,4165.83
106,aCCEPT jACKET,Clothing,Jacket,488.21
107,Page Kitchen,Home,Kitchen,3663.45
108,Pick Fiction,Books,Fiction,697.06
109,Indeed Jacket,Clothing,Jacket,407.76
110,Note Fiction,Books,Fiction,3620.87
111,   Officer Lighting   ,Home,Lighting,2896.25
112,Your Shirt,Clothing,Shirt,4771.68
113,bED cAMERA,Electronics,Camera,1995.72
114,Focus Decor,Home,Decor,431.04
115,Develop Shirt,Clothing,Shirt,1729.34
116,Smile Headphones,Electronics,Headphones,957.94
117,Site Comics,Books,Comics,409.19
118,wELL fICTION,Books,Fiction,1077.4
119,She Headphones,Electronics,Headphones,4946.7
120,   Guy Biography   ,Books,Biography,1501.94
121,Development Headphones,Electronics,Headphones,2241.06
122,Itself Comics,Books,Comics,4871.25
123,Western Comics,Books,Comics,1406.93
124,Race Camera,Electronics,Camera,4129.47
125,Today Decor,Home,Decor,1548.64
126,Music Comics,Books,Comics,2290.94
127,Change Lighting,Home,Lighting,4744.73
128,College Camera,Electronics,Camera,3429.11
129,Create Laptop,Electronics,Laptop,2247.05
130,Do Shirt,Clothing,Shirt,1874.54
131,Practice Laptop,Electronics,Laptop,1922.87
132,They Laptop,Electronics,Laptop,3282.85
133,   Entire Shirt   ,Clothing,Shirt,2636.95
134,Daughter Headphones,Electronics,Headphones,1151.4
135,Building Lighting,Home,Lighting,462.85
136,Course Jacket,Clothing,Jacket,4841.05
137,Remain Decor,Home,Decor,1522.78
138,Successful Kitchen,Home,Kitchen,3224.73
139,Our Kitchen,Home,Kitchen,780.5
140,Together Fiction,Books,Fiction,2390.29
141,Arm Shirt,Clothing,Shirt,3612.97
142,Today Comics,Books,Comics,461.38
143,Society Furniture,Home,Furniture,1788.12
144,Work Jeans,Clothing,Jeans,371.52
145,Often Laptop,Electronics,Laptop,4680.22
146,Main Shoes,Clothing,Shoes,1491.84
147,Quite Headphones,Electronics,Headphones,1444.81
148,Often Furniture,Home,Furniture,4713.87
149,Baby Jeans,Clothing,Jeans,3065.18
150,Fill Mobile,Electronics,Mobile,3878.01
151,Remain Kitchen,Home,Kitchen,3231.06
152,Audience Biography,Books,Biography,1299.9
153,Enough Biography,Books,Biography,874.59
154,Billion Comics,Books,Comics,803.98
155,Decade Decor,Home,Decor,1915.65
156,She Headphones,Electronics,Headphones,2303.02
157,Partner Shirt,Clothing,Shirt,4334.4
158,Message Education,Books,Education,4086.04
159,Give Kitchen,Home,Kitchen,2622.15
160,Heavy Biography,Books,Biography,2026.89
161,Career Education,Books,Education,347.65
162,rEMAIN cOMICS,Books,Comics,626.74
163,Reality Shoes,Clothing,Shoes,1893.09
164,Easy Fiction,Books,Fiction,2810.79
165,Black Camera,Electronics,Camera,1470.63
166,Feel Laptop,Electronics,Laptop,3995.0
167,President Decor,Home,Decor,2594.7
168,   Available Mobile   ,Electronics,Mobile,4039.43
169,We Education,Books,Education,1707.03
170,Daughter Kitchen,Home,Kitchen,4228.75
171,Friend Lighting,Home,Lighting,4097.17
172,Mention Decor,Home,Decor,2960.14
173,Little Camera,Electronics,Camera,4863.08
174,Get Shirt,Clothing,Shirt,3182.22
175,Practice Education,Books,Education,2905.59
176,   Receive Laptop   ,Electronics,Laptop,842.01
177,Follow Jacket,Clothing,Jacket,2410.87
178,Rule Laptop,Electronics,Laptop,4990.8
179,Pattern Comics,Books,Comics,4569.41
180,Claim Decor,Home,Decor,3435.65
181,Others Lighting,Home,Lighting,2834.62
182,Our Shoes,Clothing,Shoes,3482.18
183,His Biography,Books,Biography,4678.98
