customer_id,order_id,product_id,quantity,price,order_date,order_status,channel,discount,product_price,payment_amount,payment_method,payment_date,name,city,signup_date,calculated_revenue
1950,1,29,4,1701.72,2024-02-29,Cancelled,Web,0.05,1136.85,532.61,Wallet,2024-02-26,Cust_1950,Pune,2022-03-15,6806.88
1491,2,98,5,1643.01,2024-01-28,Completed,Store,0.16,1658.33,1583.67,UPI,2024-01-23,Cust_1491,Jaipur,2023-06-03,8215.05
1518,3,2,4,1948.47,2024-01-10,Completed,Store,0.18,1837.12,1271.92,Card,2024-01-29,Cust_1518,Jaipur,2023-02-03,7793.88
440,4,33,3,1911.69,2024-02-01,Completed,Web,0.07,1071.5,1296.86,UPI,2024-02-28,Cust_440,Bangalore,2023-11-22,5735.07
1011,5,1,4,795.88,2024-02-11,Completed,App,0.25,1781.59,614.5,NetBanking,2024-01-29,Cust_1011,Pune,2023-04-12,3183.52
741,6,31,3,625.85,2024-01-31,Completed,Store,0.15,1678.43,1579.44,Wallet,2024-01-13,Cust_741,Bangalore,2022-02-25,1877.5500000000002
201,7,35,3,174.15,2024-01-14,Completed,Web,0.22,1507.39,1755.48,UPI,2024-02-14,Cust_201,Pune,2022-03-17,522.45
490,8,100,5,823.93,2024-02-29,Cancelled,Web,0.06,369.61,null,null,null,Cust_490,Pune,2023-09-07,4119.65
269,9,39,1,1880.09,2024-02-10,Cancelled,Web,0.27,278.64,1056.5,UPI,2024-02-20,Cust_269,Bangalore,2022-12-28,1880.09
1203,10,50,3,522.32,2024-01-12,Completed,App,0.19,570.28,816.05,Wallet,2024-01-03,Cust_1203,Jaipur,2022-07-21,1566.96
1163,11,4,5,1101.87,2024-01-21,Cancelled,App,0.04,702.12,307.68,Wallet,2024-02-23,Cust_1163,Bangalore,2023-07-05,5509.349999999999
1852,12,81,1,624.04,2024-02-03,Completed,Web,0.12,119.85,1294.4,NetBanking,2024-01-15,Cust_1852,Delhi,2022-01-19,624.04
267,13,63,5,1986.13,2024-02-01,Cancelled,Web,0.02,1129.23,931.46,Wallet,2024-02-12,Cust_267,Jaipur,2022-09-24,9930.650000000001
874,14,53,4,1955.86,2024-02-25,Cancelled,Web,0.19,1791.94,1258.35,Card,2024-01-03,Cust_874,Bangalore,2023-04-14,7823.44
1378,15,1,5,1218.81,2024-01-04,Cancelled,App,0.11,1781.59,1573.98,Card,2024-02-12,Cust_1378,Pune,2023-04-02,6094.049999999999
986,16,54,2,752.78,2024-01-02,Completed,App,0.18,1787.39,1529.45,NetBanking,2024-01-31,Cust_986,Jaipur,2023-08-22,1505.56
1473,17,86,3,1750.98,2024-02-06,Completed,App,0.19,1738.61,1447.68,Card,2024-01-19,Cust_1473,Bangalore,2022-02-02,5252.9400000000005
597,18,93,5,688.19,2024-01-24,Completed,Web,0.24,875.87,602.4,Card,2024-01-27,Cust_597,Delhi,2023-07-06,3440.9500000000003
236,19,29,5,418.22,2024-02-18,Completed,Web,0.03,1136.85,1372.55,NetBanking,2024-02-15,Cust_236,Pune,2022-03-29,2091.1000000000004
475,20,77,2,341.27,2024-02-17,Completed,App,0.18,282.47,1215.88,Wallet,2024-02-23,Cust_475,Delhi,2022-07-06,682.54
813,21,18,2,1238.8,2024-02-07,Cancelled,Web,0.01,926.46,1312.12,UPI,2024-01-12,Cust_813,Delhi,2023-11-11,2477.6
270,22,88,2,347.58,2024-02-12,Completed,Web,0.24,1085.67,135.8,UPI,2024-02-09,Cust_270,Bangalore,2023-01-14,695.16
396,23,15,3,1087.24,2024-02-24,Completed,Web,0.03,859.85,null,null,null,Cust_396,Bangalore,2022-09-03,3261.7200000000003
