order_id,product_id,customer_id,quantity,price,order_date,order_status,channel,discount
1,29,1950,4,1701.7200,2024-02-29,Cancelled,Web,0.05
2,98,1491,5,1643.0100,2024-01-28,Completed,Store,0.16
3,2,1518,4,1948.4700,2024-01-10,Completed,Store,0.18
4,33,440,3,1911.6900,2024-02-01,Completed,Web,0.07
5,1,1011,4,795.8800,2024-02-11,Completed,App,0.25
6,31,741,3,625.8500,2024-01-31,Completed,Store,0.15
7,35,201,3,174.1500,2024-01-14,Completed,Web,0.22
8,100,490,5,823.9300,2024-02-29,Cancelled,Web,0.06
9,39,269,1,1880.0900,2024-02-10,Cancelled,Web,0.27
10,50,1203,3,522.3200,2024-01-12,Completed,App,0.19
11,4,1163,5,1101.8700,2024-01-21,Cancelled,App,0.04
12,81,1852,1,624.0400,2024-02-03,Completed,Web,0.12
13,63,267,5,1986.1300,2024-02-01,Cancelled,Web,0.02
14,53,874,4,1955.8600,2024-02-25,Cancelled,Web,0.19
15,1,1378,5,1218.8100,2024-01-04,Cancelled,App,0.11
16,54,986,2,752.7800,2024-01-02,Completed,App,0.18
17,86,1473,3,1750.9800,2024-02-06,Completed,App,0.19
18,93,597,5,688.1900,2024-01-24,Completed,Web,0.24
19,29,236,5,418.2200,2024-02-18,Completed,Web,0.03
20,77,475,2,341.2700,2024-02-17,Completed,App,0.18
21,18,813,2,1238.8000,2024-02-07,Cancelled,Web,0.01
22,88,270,2,347.5800,2024-02-12,Completed,Web,0.24
23,15,396,3,1087.2400,2024-02-24,Completed,Web,0.03
24,1,1940,4,330.3400,2024-02-28,Cancelled,Web,0.08
25,23,716,2,1402.9000,2024-02-05,Cancelled,App,0.01
26,96,581,2,1173.9200,2024-01-09,Completed,Store,0.17
27,33,143,5,759.2600,2024-01-25,Cancelled,App,0.22
28,39,1149,3,1614.4200,2024-01-02,Cancelled,App,0.15
29,9,1627,3,1595.8000,2024-02-11,Completed,Web,0.07
30,66,1640,1,1110.0400,2024-02-25,Cancelled,Store,0.17
31,60,1424,5,1163.7400,2024-01-06,Completed,App,0.02
32,51,1058,2,136.9100,2024-01-10,Completed,Web,0.11
33,84,268,3,101.2800,2024-01-07,Completed,Store,0.1
34,86,1686,4,1649.5100,2024-02-05,Cancelled,Web,0.03
35,67,196,2,682.8900,2024-02-28,Completed,Web,0.16
36,47,1487,1,1900.1300,2024-01-30,Completed,Web,0.03
37,98,1985,3,1702.5600,2024-02-09,Cancelled,App,0.16
38,56,1070,1,229.1000,2024-02-07,Completed,Web,0.25
39,66,55,1,117.8900,2024-01-01,Completed,Web,0.07
40,19,560,5,1104.3600,2024-01-28,Completed,App,0.04
41,76,1885,1,862.3400,2024-01-30,Cancelled,Web,0.01
42,41,576,4,1402.7500,2024-01-08,Completed,App,0.23
43,86,650,3,1819.9100,2024-02-28,Completed,Web,0.02
44,34,417,1,1967.0200,2024-02-27,Cancelled,App,0.17
45,48,1462,2,1761.1800,2024-02-08,Completed,App,0.09
46,84,1981,2,1922.0400,2024-02-09,Completed,Store,0.01
47,22,622,2,373.7200,2024-02-27,Completed,App,0.12
48,25,991,4,871.7900,2024-02-10,Cancelled,Store,0.03
49,33,1838,2,707.3900,2024-01-13,Cancelled,Store,0.02
50,99,1020,4,714.9900,2024-01-22,Completed,Store,0.08
51,92,470,1,1247.0000,2024-02-04,Completed,Store,0.06
52,23,1255,5,358.7700,2024-01-02,Completed,App,0.03
53,18,747,5,1385.5700,2024-02-19,Cancelled,Web,0.01
54,86,114,2,420.3300,2024-01-01,Cancelled,Store,0.26
55,21,1394,4,324.2800,2024-01-15,Cancelled,Store,0.03
56,82,891,5,332.0100,2024-01-17,Completed,Web,0.28
57,23,22,2,1603.9400,2024-02-18,Cancelled,Web,0.11
58,35,1875,4,1140.2700,2024-02-08,Completed,Store,0.08
59,37,1136,3,1851.4600,2024-02-27,Cancelled,Store,0.11
60,80,1833,1,1312.1500,2024-02-14,Completed,App,0.08
61,47,632,3,1593.9000,2024-02-22,Completed,App,0.17
62,90,471,1,1737.4100,2024-01-18,Completed,Web,0.12
63,72,765,2,282.0100,2024-02-07,Completed,Store,0.12
64,11,1379,3,1844.2400,2024-02-03,Cancelled,Web,0.1
65,100,1697,3,1632.2600,2024-01-04,Completed,Store,0.23
66,63,86,1,689.3900,2024-01-13,Cancelled,App,0.03
