order_id,payment_amount,payment_method,payment_date
16228,154.6900,NetBanking,2024-01-10
11388,1415.7600,Wallet,2024-01-18
14772,373.1900,NetBanking,2024-01-09
3002,1679.1100,NetBanking,2024-02-24
8702,1604.2300,Wallet,2024-01-12
2713,611.8900,Wallet,2024-01-04
16472,1772.7600,NetBanking,2024-02-12
3604,1125.5100,Wallet,2024-01-03
16367,174.8400,Wallet,2024-01-19
18286,1137.7700,UPI,2024-01-17
13003,1884.4200,NetBanking,2024-02-14
6510,182.2900,Card,2024-02-12
3077,940.6000,NetBanking,2024-01-05
12040,1635.1400,Wallet,2024-01-18
14327,610.6100,UPI,2024-01-31
9440,1557.6000,Card,2024-02-24
19902,399.5500,Card,2024-02-14
4066,553.6100,NetBanking,2024-02-29
15922,1434.6000,Card,2024-02-18
15860,1892.2000,UPI,2024-02-24
18540,1282.2700,Card,2024-01-17
16773,1846.4000,NetBanking,2024-01-09
3842,167.9100,Wallet,2024-02-11
15379,1153.6000,UPI,2024-01-24
15662,880.1900,NetBanking,2024-02-23
6916,890.8100,Wallet,2024-01-23
12345,146.7600,Card,2024-02-28
14764,1470.1000,Card,2024-03-01
8488,506.1400,Wallet,2024-02-11
17558,562.3100,NetBanking,2024-02-25
8516,106.6300,Card,2024-01-30
10315,332.6900,Card,2024-01-07
12721,1012.2800,NetBanking,2024-02-26
1469,743.5400,UPI,2024-02-08
7045,1928.1900,UPI,2024-01-18
5015,1302.7500,Wallet,2024-02-16
14901,904.9900,Card,2024-02-27
14372,1805.9900,UPI,2024-01-16
13454,1180.8900,Wallet,2024-02-08
2056,470.1800,Wallet,2024-02-09
1052,1953.4700,Card,2024-02-05
3987,1122.6700,UPI,2024-02-13
12093,907.2500,UPI,2024-02-18
3141,1697.1500,UPI,2024-01-17
18369,1432.7800,NetBanking,2024-01-27
4929,1067.7700,UPI,2024-02-29
14480,1798.6300,Wallet,2024-01-28
11698,437.0800,Card,2024-01-11
6258,782.4400,UPI,2024-02-28
9196,1242.7900,UPI,2024-01-19
910,1823.9200,Wallet,2024-01-04
1234,195.9300,NetBanking,2024-01-13
10749,1842.9400,NetBanking,2024-02-22
3893,377.2000,Card,2024-02-26
8148,1675.2200,NetBanking,2024-02-26
14775,1072.3300,NetBanking,2024-01-09
14415,381.3300,Card,2024-01-31
2580,110.5700,UPI,2024-01-09
11435,1585.6900,NetBanking,2024-01-23
10124,186.6400,Wallet,2024-02-18
15854,1763.1700,Wallet,2024-02-18
848,148.7700,UPI,2024-01-23
13310,1529.1600,Card,2024-01-27
2969,1551.2200,Card,2024-01-09
8920,1112.6100,UPI,2024-02-06
14044,1805.1400,UPI,2024-01-03
17097,408.2000,NetBanking,2024-01-21
2228,353.6700,Wallet,2024-01-27
2500,218.0700,Card,2024-02-28
7279,1079.5200,Card,2024-02-18
19076,1434.7100,NetBanking,2024-02-17
2848,1682.6200,UPI,2024-02-19
7137,715.6500,Card,2024-02-16
11921,102.7000,UPI,2024-01-08
1802,1045.2500,UPI,2024-02-15
8221,369.7700,NetBanking,2024-02-11
6891,1170.9400,UPI,2024-01-06
4655,1969.7400,Card,2024-02-10
10313,1117.6400,NetBanking,2024-02-15
6201,1855.9900,NetBanking,2024-01-10
7348,497.2000,Card,2024-01-30
13770,325.4200,UPI,2024-02-11
12209,888.9000,NetBanking,2024-01-25
6351,1509.4200,NetBanking,2024-01-03
5247,280.0700,Wallet,2024-01-13
17621,1529.2000,Wallet,2024-01-09
18033,1521.3800,UPI,2024-01-11
11288,1932.9900,Card,2024-01-22
8963,1714.7100,Card,2024-02-13
19598,851.7600,Card,2024-03-01
17905,882.5000,Card,2024-01-14
1846,745.3100,Card,2024-02-21
9817,1265.5400,Card,2024-01-20
17389,684.4800,NetBanking,2024-02-08
6390,1694.5800,NetBanking,2024-01-06
10213,1922.3600,Card,2024-02-05
15010,1880.2400,Wallet,2024-01-10
6314,447.0600,Wallet,2024-02-17
17995,1582.7200,Wallet,2024-02-02
16150,710.7900,Wallet,2024-02-09
5476,1424.6900,Wallet,2024-01-20
