product_id,price,category,effective_date,end_date,is_current
1,1823.0700,Home,2023-01-01,2023-12-31,0
1,1781.5900,Home,2024-01-01,null,1
2,1974.0300,Home,2023-01-01,2023-12-31,0
2,1837.1200,Home,2024-01-01,null,1
3,1656.6000,Electronics,2023-01-01,2023-12-31,0
3,1582.6600,Electronics,2024-01-01,null,1
4,803.6800,Home,2023-01-01,2023-12-31,0
4,702.1200,Home,2024-01-01,null,1
5,297.5000,Clothing,2023-01-01,2023-12-31,0
5,368.1400,Clothing,2024-01-01,null,1
6,492.3500,Grocery,2023-01-01,2023-12-31,0
6,548.4000,Grocery,2024-01-01,null,1
7,459.3000,Clothing,2023-01-01,2023-12-31,0
7,541.4200,Clothing,2024-01-01,null,1
8,666.8000,Grocery,2023-01-01,2023-12-31,0
8,712.4600,Grocery,2024-01-01,null,1
9,1859.3400,Sports,2023-01-01,2023-12-31,0
9,2157.8600,Sports,2024-01-01,null,1
10,1062.1200,Grocery,2023-01-01,2023-12-31,0
10,1271.6100,Grocery,2024-01-01,null,1
11,380.2800,Electronics,2023-01-01,2023-12-31,0
11,465.1600,Electronics,2024-01-01,null,1
12,209.6000,Sports,2023-01-01,2023-12-31,0
12,192.4000,Sports,2024-01-01,null,1
13,961.6900,Sports,2023-01-01,2023-12-31,0
13,842.7500,Sports,2024-01-01,null,1
14,787.4000,Home,2023-01-01,2023-12-31,0
14,797.8300,Home,2024-01-01,null,1
15,723.7600,Sports,2023-01-01,2023-12-31,0
15,859.8500,Sports,2024-01-01,null,1
16,580.7600,Clothing,2023-01-01,2023-12-31,0
16,603.3300,Clothing,2024-01-01,null,1
17,1617.4000,Home,2023-01-01,2023-12-31,0
17,1623.5700,Home,2024-01-01,null,1
18,992.4700,Sports,2023-01-01,2023-12-31,0
18,926.4600,Sports,2024-01-01,null,1
19,425.9700,Electronics,2023-01-01,2023-12-31,0
19,477.4400,Electronics,2024-01-01,null,1
20,890.3200,Clothing,2023-01-01,2023-12-31,0
20,967.5000,Clothing,2024-01-01,null,1
21,511.3100,Grocery,2023-01-01,2023-12-31,0
21,500.9000,Grocery,2024-01-01,null,1
22,1835.1300,Clothing,2023-01-01,2023-12-31,0
22,2015.7100,Clothing,2024-01-01,null,1
23,295.7200,Electronics,2023-01-01,2023-12-31,0
23,339.9700,Electronics,2024-01-01,null,1
24,1791.4100,Home,2023-01-01,2023-12-31,0
24,1612.3300,Home,2024-01-01,null,1
25,1221.6400,Clothing,2023-01-01,2023-12-31,0
25,1078.8400,Clothing,2024-01-01,null,1
26,1589.0600,Clothing,2023-01-01,2023-12-31,0
26,1435.5800,Clothing,2024-01-01,null,1
27,1919.5900,Home,2023-01-01,2023-12-31,0
27,2036.1300,Home,2024-01-01,null,1
28,946.2200,Sports,2023-01-01,2023-12-31,0
28,961.5200,Sports,2024-01-01,null,1
29,1209.9800,Electronics,2023-01-01,2023-12-31,0
29,1136.8500,Electronics,2024-01-01,null,1
30,1733.2100,Grocery,2023-01-01,2023-12-31,0
30,1600.6900,Grocery,2024-01-01,null,1
31,1525.5300,Sports,2023-01-01,2023-12-31,0
31,1678.4300,Sports,2024-01-01,null,1
32,1679.0000,Clothing,2023-01-01,2023-12-31,0
32,1820.0500,Clothing,2024-01-01,null,1
33,1156.5400,Electronics,2023-01-01,2023-12-31,0
33,1071.5000,Electronics,2024-01-01,null,1
34,555.0300,Grocery,2023-01-01,2023-12-31,0
34,594.7300,Grocery,2024-01-01,null,1
35,1269.1500,Home,2023-01-01,2023-12-31,0
35,1507.3900,Home,2024-01-01,null,1
36,1186.2400,Electronics,2023-01-01,2023-12-31,0
36,1448.3800,Electronics,2024-01-01,null,1
37,1040.8000,Clothing,2023-01-01,2023-12-31,0
37,1091.4200,Clothing,2024-01-01,null,1
38,1364.5000,Home,2023-01-01,2023-12-31,0
38,1301.4900,Home,2024-01-01,null,1
39,274.4000,Clothing,2023-01-01,2023-12-31,0
39,278.6400,Clothing,2024-01-01,null,1
40,346.7400,Grocery,2023-01-01,2023-12-31,0
40,325.3000,Grocery,2024-01-01,null,1
41,841.8400,Home,2023-01-01,2023-12-31,0
41,770.3500,Home,2024-01-01,null,1
42,1885.4800,Clothing,2023-01-01,2023-12-31,0
42,2000.8500,Clothing,2024-01-01,null,1
