order_date,total_revenue
2024-01-01,1220445.58
2024-01-02,1127475.88
2024-01-03,1083167.72
2024-01-04,937500.12
2024-01-05,1061770.35
2024-01-06,1216220.81
2024-01-07,974554.77
2024-01-08,1260185.75
2024-01-09,1035037.52
2024-01-10,958037.23
2024-01-11,978421.40
2024-01-12,1256648.27
2024-01-13,1045090.58
2024-01-14,1108196.53
2024-01-15,1102296.09
2024-01-16,989477.86
2024-01-17,1099366.40
2024-01-18,978328.05
2024-01-19,1114121.67
2024-01-20,1164029.17
2024-01-21,1082405.78
2024-01-22,1090124.10
2024-01-23,1030960.28
2024-01-24,1103052.97
2024-01-25,925696.55
2024-01-26,1003526.68
2024-01-27,958981.14
2024-01-28,1114055.08
2024-01-29,1162543.45
2024-01-30,1007997.44
2024-01-31,1149350.26
2024-02-01,981612.59
2024-02-02,1150292.67
2024-02-03,956816.04
2024-02-04,1050928.15
2024-02-05,1100152.53
2024-02-06,1029567.59
2024-02-07,1069401.73
2024-02-08,952229.51
2024-02-09,1128360.18
2024-02-10,992641.56
2024-02-11,1124770.94
2024-02-12,961753.45
2024-02-13,1110434.52
2024-02-14,1081755.17
2024-02-15,1061667.25
2024-02-16,1109043.64
2024-02-17,1085423.28
2024-02-18,888248.11
2024-02-19,1098424.51
2024-02-20,1105078.62
2024-02-21,1121171.83
2024-02-22,937129.40
2024-02-23,1031076.68
2024-02-24,895638.61
2024-02-25,1005764.24
2024-02-26,1022291.56
2024-02-27,996613.21
2024-02-28,1043633.94
2024-02-29,957874.45
2024-03-01,991022.54
